Title,Sector,Description,Salary
Нярав (Өмнөговь салбар),"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Бараа материалыг нэр төрлөөр нь төрөлжүүлэн хураан ангилах, хаяглах;
Өдөр тутмын тайлан, балансыг хугацаанд нь гаргах;
Бараа бүтээдэхүүний баримтын эмх цэгцтэй байдлыг хангах;
Бараа бүтээгдэхүүний бүрэн бүтэн болон аюулгүй байдлыг хариуцан ажиллана","1,800,000 - 2,100,000 ₮"
Тооцооны нягтлан бодогч,"Банк, санхүү, нягтлан бодох бүртгэл",Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхололтод заагдсан чиг үүргийн дагуу,"1,800,000 - 2,100,000 ₮"
БАНКИР,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Салбар, тооцооны төвийн одоогийн болон шинээр татах зорилтот иргэн, аж ахуй нэгж байгууллагыг хариуцаж, харилцагчийн үндсэн банк болохын төлөө ажиллах
Банкны цогц үйлчилгээг холбогдох хууль дүрэм, бодлого журам, заавар, стандарт, нөхцөлийн дагуу харилцагчид үзүүлэх;","1,500,000 - 1,800,000 ₮"
Зээлийн эдийн засагч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Зээлийн судалгаа хийх, зээл олгох, зээлийн эргэн төлөлтөд хяналт тавьж ажиллах
АБТ-д тусгасан бусад ажил үүрэг","1,800,000 - 2,100,000 ₮"
Түгээлтийн жолооч ажилд авна,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг- Эм, эмнэлгийн хэрэгслүүдийг эмнэлэг, эмийн сангуудад хүргэж өгнө.","1,200,000 - 1,500,000 ₮"
Зээлийн мэргэжилтэн /Эрсдэл/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгЗээлийн эргэн төлөлтөнд хяналт тавих,
Хугацаа хэтэрсэн финтек зээлийн харилцагчидтай холбогдож зээл төлүүлэх,
Ажлын байрны тодорхойлолтонд заасан бусад чиг үүргүүд","1,200,000 - 1,500,000 ₮"
Эрүүл ахуйч,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгКомпанийн харъяа обьектуудын хоол үйлдвэрлэл болон үйлчилгээний стандартыг хангуулах,  эрүүл ахуйн нөхцөлийг бүрдүүлэх, хоол хүнсний эрүүл аюулгүй байдалд хяналт тавих, эрүүл аюулгүй хоол хүнсээр үйлчлүүлэгчдийг хангах","1,800,000 - 2,100,000 ₮"
Худалдааны ахлах зөвлөх,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Бүтээгдэхүүний талаар мэдээлэл сурталчилгаа хийх.
Хариуцсан эд хөрөнгийн бүрэн бүтэн байдлыг хариуцан ажиллах.
Бараа бүтээгдэхүүний тооллого, тооцоог хийх.
Үйлчилгээний стандартын дагуу үйлчлүүлэгчдэд бараа бүтээгдэхүүн тайлбарлах
Хэрэглэгч үйлчлүүлэгчдэд зөв боловсон соёлтой түргэн шуурхай үйлчлэх
Ажлын байрны тодорхойлолтод заасан бусад ажил үүргүүд","2,100,000 - 2,500,000 ₮"
Үйлдвэрийн эдийн засагч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгБизнес, стратегийн төлөвлөгөөний төлөвлөлт тооцоог боловсруулах
Бүтээгдэхүүний өртөг, эдийн засгийн үр ашгийг тооцоолох
Компанийн эдийн засгийн үр дүнд гарч болох өөрчлөлт, өртөг зардлын өсөлт, бууралт, татвар, инфляцийн нөлөөллийг тусган, борлуулалтыг үр ашигтай байлгах шуурхай тооцоо судалгаа гаргах","1,800,000 - 2,100,000 ₮"
ХАБЭА-н менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтод заасны дагуу ажил үүргийг гүйцэтгэх 
Компанийн ХАБЭА-н процессыг бие даан хариуцан гүйцэтгэх","1,800,000 - 2,100,000 ₮"
"ХН-ийн бүрдүүлэлт, сш-ын ажилтан","Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн нээлттэй ажлын байруудад бүрдүүлэлт, сонгон шалгаруулалтын хуулийн хүрээнд мэргэжлийн дагуу хийж гүйцэтгэх
Шинэ ажилтныг чиглүүлэх дасан зохицуулах
Ажил, албан тушаалын тодорхойлолтод заагдсан ажил үүргийг гүйцэтгэх","1,500,000 - 1,800,000 ₮"
Зөвлөх инженер ажилд авна,Автомашины засвар үйлчилгээ,"Гүйцэтгэх үндсэн үүрэгТээврийн хэрэгслийн эвдрэл оношлох
Засвар үйлчилгээг технологийн дагуу хийлгэх
Инженер техникийн ажилчдыг чадваржуулах",
"Борлуулалт, маркетинг хариуцсан захирал ажилд авна","Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгБорлуулалт, маркетингийн хөтөлбөр боловсруулан хэрэгжүүлэх
Компанийн бизнес төлөвлөгөөний биелэлтийг ханган ажиллах
Стратегийн гол зорилгуудыг хэрэгжүүлэх
Маркетингийн үйл ажиллагааг идэвхижүүлэх
Борлуулалтын төлөвлөгөөг биелүүлэх
Баг хамт олны өдөр тутмын үйл ажиллагааг удирдан зохион байгуулах
Шинэ брэнд, бүтээгдэхүүн хөгжүүлэлтийн процессыг хариуцах","5,000,000 - 6,000,000 ₮"
Англи хэлнйи багш,"Боловсрол, Шинжлэх ухаан",Гүйцэтгэх үндсэн үүрэг-Сургалтын төвд 10-16 насны хүүхдүүдэд хуваарийн дагуу хичээл заах,"1,500,000 - 1,800,000 ₮"
Гал тогооны туслах ажилтан,"Ресторан, Хоол үйлдвэрлэл",Гүйцэтгэх үндсэн үүрэгСургуулийн гал тогоонд ажиллана,
