Title,Sector,Description,Salary
Гаалийн мэдүүлэгч,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгБүтээгдэхүүний экспортын гаалийн бүрдүүлэлт хийх,
Бараа материалын импортын гаалийн бүрдүүлэлт хийх,
Авто пүүлэлт, гаалийн бүртгэлийн үйл ажиллагааг хууль, журам, стандартын дагуу зохион байгуулж, холбогдох ажил үүргээ гүйцэтгэх,
Бусад байршилд ажиллаж компанитай холбоотой ачаа тээврийн гаалийн бүрдүүлэлт, гаалийн зохицуулалтыг хийх.","2,500,000 - 3,000,000 ₮"
Хэрэглэгчийн зөвлөх /Оператор/,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэг

Хэрэглэгчийг бүтээгдэхүүн үйлчилгээний талаарх мэдээллээр хангах
Хэрэглэгчийн санал хүсэлтийг бүртгэн холбогдох албадуудаар шийдвэрлүүлэх
Хэрэглэгчийн сэтгэл ханамжийг нэмэгдүүлэх","1,500,000 - 1,800,000 ₮"
Сошиал График Дизайнер /Pepsi Mongolia/,"Дизайн, Энтертайнмент, Соёл урлаг","Гүйцэтгэх үндсэн үүрэг- Шинээр зах зээлд нэвтрүүлж буй бүтээгдэхүүнд компанийн имидж болон нэр хүндийг илэрхийлсэн график реклам бүтээх
- Бүтээгдэхүүний сав, баглаа, боодол, шошго загвар дээр ажиллах
- Хэвлэмэл болон дижитал бүх төрлийн сурталчилгааны дизайн гаргах, эх бэлтгэх
- Компанийн брэндбүүк хөгжүүлэн ажиллах
- Компанийн сошиал медиа, контент мэдээллийг бэлтгэх
- Маркетингийн бусад үйл ажиллагаанд дэмжлэг үзүүлэн ажиллах
- Ажлын байрны тодорхойлолтод заасан бусад чиг үүргүүд","2,100,000 - 2,500,000 ₮"
Нөөцийн геологич,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг1. Хайгуулын ажлаар тогтоосон ашигт малтмалын ордын нөөц, тоо хэмжээг тооцох, үнэлгээ өгөх;
2. Дунд түвшний удирдлагын үйл ажиллагаанд оролцох, аливаа доголдол, зөрчлийг мэдээлж шаардлагатай арга хэмжээг санал болгох, ажлын гүйцэтгэлийг үнэлэх, хянах удирдлагад нэгтгэн танилцуулах;
3. Эрүүл мэнд, аюулгүй ажиллагаатай холбоотой бүх үйл ажиллагаанд идэвхтэй оролцох, өөрийн үйлдлээр болон бусдын эерэг зан үйлийг урамшуулах зарчмаар тогтсон стандартуудыг хэрхэн дагаж мөрдөхийг үлгэрлэн үзүүлэх;
4. Уурхайн ашиглалтын үеийн хайгуулын мэдээллээр төлөвлөлтийн багийг хангах, үнэлгээ өгөх, зөрчил дутагдлыг засах, холбогдох засварыг хий;
5. Ашиглалтын үеийн нөөцийн хөдөлгөөний акт, шаардлагатай бичиг баримт, материалыг архивлах, хадгалах; 
6. Ордын хананы зураг гаргах, ул таазны хэмжилт, тэсэлгээний өрөмдлөг, бусад бүхий л датагаар ордын моделийг сэргээн шинэчлэх, (өнгөрсөн хугацааны  олборлолтын хил заагийн хэмжилт);
7. Мэргэжлийн Minex программд ордын геологийн модель үүсгэх, шинэчлэх, сайжруулах, ( 7 хоног, Сар, Улирал, Жил);
8. Төслүүдийн болон уурхайн ашиглалтын үеийн нөөцийн өөрчлөлтийг тодорхойлох, нөөцийн тооцоолол боловсруулалт хийх дүгнэлт гаргах, мэдээллээр хангах;
9. Нүүрсний хаягдал, бохирдлыг төлөвлөгөөт хэмжээнд байлгах;
11.  Туслан гүйцэтгэгч компаниудын нүүрс олборлолтын төлөвлөгөө гаргаж, гүйцэтгэлд хяналт тавих, тайлан мэдээ гаргах, ( 7 хоног, Сар, Улирал, Жил);","3,000,000 - 4,000,000 ₮"
Кемп зохицуулагч /Pipeline PE/,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг
Өдөр тутмын бараа материал худалдан авалт
Тээврийн хэрэгслийн удирдлага
Кемпийн дотоод удирдлага
Гадаад болон дотоод харилцаа холбоо
Өдөр тутмын санхүүгийн баримт, хяналт
Өдөр тутмын аман болон бичгэн орчуулга /Монгол-Хятад-Монгол/","2,500,000 - 3,000,000 ₮"
Барилгын чанар хяналтын инженер /Pipeline PE/,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэг- Олон улсын стандарт болон компаний стратегитэй уялдсан чанарын нэгдсэн тогтолцоог бий болгох, хөгжүүлэх, төслийн чанарын хяналт тавих
- Шууд удирдлагын үүрэг даалгавар, ХАБЭА, МАБ болон компаний холбогдох дүрэм журмыг мөрдлөг болгон, хэрэгжилтүүдийг хангуулах
- Төслийн үйл ажиллагаанд чанарын менежментийн бодлого, стандарт, төслийн чанарын менежментийн процессыг оновчтой нэвтрүүлэх, хэрэгжүүлэх, мэргэжлийн чиглэлийн дагуу баримт бичгүүдийг боловсруулах, хяналт тавих, төслийг чанарын шаардлагад нийцүүлэн ажиллах.","3,000,000 - 4,000,000 ₮"
Оффисын үйлчлэгч /Pepsi Mongolia/,Үйлчилгээ,"Гүйцэтгэх үндсэн үүрэг
Оффисын цэвэрлэгээ үйлчилгээг хийх, цэвэр цэмцгэр байдлыг хангах, тогтмол цэвэр байлгах ажилтнуудын ажиллах орчны сэтгэл ханамжид эерэгээр нөлөөлөх","1,200,000 - 1,500,000 ₮"
Цахилгааны инженер /Pepsi Mongolia/,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг- Обьектын цахилгааны хэвийн үйл ажиллагааг хангах
- Цахилгааны урьдчилан сэргийлэх үзлэг оношлогоог тогтмол хийх
- Техник ашиглалтын зааварчилгааг тогтмол өгөх
- Аюулгүй ажиллагааг баримтлан ажиллах","1,800,000 - 2,100,000 ₮"
Ахлах төслийн менежер,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Бүтээгдэхүүн хөгжүүлэх хэрэглэгчийн хүсэлтэд анализ хийж user story форматад хөрвүүлж боловсруулах
Хөгжүүлэлтийн багийг ойлгомжтой, тодорхой user story-р хангах
Product backlog-г боловсруулж хөтлөх
Product backlog-г sprint-н шаардлага хангахуйц түвшинд бүрэн гүйцэд, тодорхой, ойлгомжтой байлгах
Sprint backlog-д тусгагдсан ажлын шаардлагыг хөгжүүлэлтийн явцад өөрчлөгдөхгүй байх нөхцөлийг бүрдүүлэх, харилцагч тал болон хөгжүүлэлтийн багийн хоорондын ойлголцлын зөрүүг арилгах
Хариуцаж буй бүтээгдэхүүнтэй холбоотой бодит орчинд гарсан алдаа дутагдлыг засаж залруулах үйл ажиллагаанд хяналт тавих, харилцагчийг мэдээллээр хангах
Хариуцаж буй бүтээгдэхүүнтэй холбоотой гуравдагч талын систем, үйлчилгээнд гэмтэл, саатал гарсан тохиолдолд хэрхэн засаж залруулах аргачлалыг тодорхойлж, хэрэгжилтэд хяналт тавих
Зах зээлд нэвтрүүлсэн бүтээгдэхүүнийг сайжруулах, өрсөлдөх чадварыг нэмэгдүүлэх, функциональ боломжийг өргөжүүлэх, шинээр дэд бүтээгдэхүүн, үйлчилгээ хөгжүүлэх санал санаачилгыг байнга боловсруулж холбогдох Vision board, Scope board, Roadmap гарган ажиллах
Бүтээгдэхүүний үнэ цэнийг нэмэгдүүлэх төлөвлөгөө, судалгаа боловсруулах","2,500,000 - 3,000,000 ₮"
ТУСЛАХ ТОГООЧ-/Pepsi Mongolia/,"Ресторан, Хоол үйлдвэрлэл","Гүйцэтгэх үндсэн үүрэг- 100-150 ажилтны өдрийн 1,2-р хоолийг багаараа хийх
- Хоолыг амт чанартай, өнгө үзэмжтэй, технологийн картын дагуу түргэн шуурхай хийх
- Хоолны дээж авах, устгах ажилбаруудыг хийж гүйцэтгүүлэх
- Ажлын байрны тодорхойлолтод заасан бусад чиг үүргүүд","1,500,000 - 1,800,000 ₮"
Төлөвлөлтийн инженер,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг
Ил уурхайн сар бүрийн гүйцэтгэлд хяналт тавих 
Алтны үндсэн ордны ил уурхайн дунд болон урт хугацааны төлөвлөгөө боловсруулах 
Ил уурхайн тайлан төлөвлөгөө боловсруулан Ашигт малтмал газрын тосны газарт батлуулах 
УАХ-н гэрээ хэлэлцээрүүдэд холбогдох санал шүүмжээ өгөх 
Ил уурхайн үйл ажиллагааны зардлын гүйцэтгэлийг боловсруулах","3,000,000 - 4,000,000 ₮"
Далд Уурхайн ХАБ-н ажилтан,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг

Ажлын байран дахь үйлдвэрийн  осолд гэмтлээс урьдчилан сэргийлж, уурхайн дарга, ЭМААБО-ны менежерийн баталсан чулуулгын хяналтын удирдлагын төлөвлөгөөг хэрэгжүүлэх, чулуулагын нуралт, бэхэлгээтэй холбоотой далд уурхайн үйл ажиллагаа, хүн хүч болон машин механизмд үүсч болох аливаа эрсдэлээс урьдчилан сэргийлэх, хяналт тавих, заавар зөвлөлгөө өгөх, ажилтнуудад хөдөлмөрийн аюулгүй, таатай орчинд ажиллах нөхцөлийг бүрдүүлэх.

Ажилтнуудыг үйлдвэрлэлийн осолд өртөхөөс урьдчилан сэргийлж, далд уурхайн чулуулагын хяналтын удирдлагын төлөвлөгөө /ЧХУТ/-ний дагуу хийгдсэн бэхэлгээ, бэхэлгээг хийх явцад үзлэг шалгалтыг хийж хяналт тавих, шаардлагатай дүрэм журам боловсруулахад санал оруулах. 
Хариуцсан хэсгийн ажилтнуудад ЧХУТ-ны дагуу хийгдэх бэхэлгээ, геотехникийн мэдээллийг сургалтын багтай хамтран  төлөвлөгөөт сургалт болон, төлөвлөгөөт сургалтын материал бэлтгэх, ажилтнуудыг хамруулах үйл ажиллагаанд дэмжлэг үзүүлж оролцох 
ЧХУТ-гөөр батлагдсан албан тушаалтнууд хариуцсан үйл ажиллагааг хэрхэн зохион байгуулж байгаад хяналт тавина.  
Ослын үед осолдогчид яаралтай эмнэлгийн тусламж үзүүлэх боломжийг яаралтай бүрдүүлнэ. Мөн ослын судалгааны анхан шатны материалын бүрдүүлэлт хийх, дүгнэлт гаргахад туслалцаа үзүүлэх, хамтран ажиллах","1,800,000 - 2,100,000 ₮"
Брэнд менежер-Pepsi Mongolia,"Маркетинг, PR, Менежмент","Гүйцэтгэх үндсэн үүрэг- Одоо байгаа болон шинэ бүтээгдэхүүн үйлчилгээтэй холбоотой маркетинг
- ПР, компанит ажлуудыг төлөвлөх
- Зорилтот харилцагч, үйчлүүлэгчдийг сэдэлжүүлэх ажлын зохион байгуулах
- Сошиол орчинд ажиллах
- Зах зээлд буюу хэрэглэгчдийн худалдан авалт хийх шийдвэрт бодит нөлөө үзүүлж чадахуйц зар сурталчилгаа, олон нийтийн ажиллагааг төлөвлөх, хэрэгжүүлэх, үр дүнг тооцох
- Зах зээлд эзлэх байр суурь, нэр хүнд, өрсөлдөх чадвар, борлуулалтын үзүүлэлтүүдийг тогтмол дүн шинжилгээ хийх, өсгөх, удирдлагыг мэдээллээр хангах","1,800,000 - 2,100,000 ₮"
Хэрэглэгчийн зөвлөх /Дижитал/,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэгДижитал сувгаар хандсан хэрэглэгчид үйлчилгээний стандартын дагуу, үнэн зөв бүрэн мэдээлэл хүргэх, хэрэглэгчид тулгамдсан асуудлыг хүлээн авч оношлон шийдвэрлэх, санал хүсэлтийг хүлээн авах, нөхцөлийн дагуу үйлчилгээ үзүүлэн хэрэглэгчийн сэтгэл ханамжийг өндөр түвшинд байлгах",
Хэрэглэгчийн зөвлөх /Дижитал/,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэгДижитал сувгаар хандсан хэрэглэгчид үйлчилгээний стандартын дагуу, үнэн зөв бүрэн мэдээлэл хүргэх, хэрэглэгчид тулгамдсан асуудлыг хүлээн авч оношлон шийдвэрлэх, санал хүсэлтийг хүлээн авах, нөхцөлийн дагуу үйлчилгээ үзүүлэн хэрэглэгчийн сэтгэл ханамжийг өндөр түвшинд байлгах",
Үйлдвэрийн дамжлагын ажилтан- Pepsi Mongolia /эр/,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэг
Үйлдвэрийн үндсэн үйл ажиллагаанд туслах үүрэг гүйцэтгэх
Удирдлагаас өгсөн чиг үүргийг гүйцэтгэх
Холбогдох бичиг баримт бүртгэх 
АБТ-д заасан чиг үүрэг","1,500,000 - 1,800,000 ₮"
Эрдэм шинжилгээний ажилтан,"Төрийн болон төрийн бус байгууллага, ОУБ","Гүйцэтгэх үндсэн үүрэг 

Эрчим хүчний салбарын стандарт, нормативын болон бусад баримт бичиг боловсруулах, стандартын төслийг англи хэлнээс монгол хэл рүү орчуулах болон монгол хэлнээс англи хэл рүү орчуулах
Боловсруулж дуусгасан стандартын төсөл, баримт бичгийг хянаж унших",
"Жолооч /В, С/-Pepsi Mongolia","Ажилчид, туслах ажилтан","Гүйцэтгэх үндсэн үүрэг- Худалдааны төлөөлөгчийн авсан захиалгын дагуу Түгээгчийн хамтаар захиалгыг харилцагч нарт хүргэж өгөх, ачих, зөөх
- Агуулахаас бүтээгдэхүүнийг машиндаа бэлдэж гарах
- Хариуцсан машины бүрэн бүтэн, цэвэр байдлыг хангах
- Замын хөдөлгөөнд дүрмийн дагуу оролцох
- АБТ-д заасан чиг үүргүүд","1,500,000 - 1,800,000 ₮"
Тооцооны нягтлан бодогч /Pepsi Mongolia/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Борлуулалтын тооцоог бүртгэх, хянах
Мөнгөн хөрөнгийн бүртгэл, хөтлөлт
Харилцагчидтай тооцоо нийлэх
Тайлан мэдээг бэлтгэн тайлагнах
Худалдааний төлөөлөгчийн гаргасан тайланг үндэслэн бүх төрлийн тооцоог хянаж шалгах, өр авлага үүсгэхгүй ажиллах
Өглөг, авлагын тооцоо нийлэх, хяналт тавих
Ажлын байрны тодорхойлолтод заасан чиг үүргүүд","1,800,000 - 2,100,000 ₮"
ХУДАЛДААНЫ ЗӨВЛӨХ /Эрэгтэй яармаг салбар/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Байгууллагын борлуулалтын төлөвлөгөөт зорилтыг хангаж ажиллах
Хэрэглэгч, үйлчлүүлэгчдэд түргэн шуурхай үйлчилгээ үзүүлэх
Өөрийн хариуцсан бараа бүтээгдэхүүн, эд зүйлсийн тоо ширхэг, бүрэн бүтэн байдлыг хангах
Борлуулалтын данс тооцоо хийж тулгах","1,800,000 - 2,100,000 ₮"
Агентаар ажиллах БИЗНЕС ХАМТРАГЧ,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Үндсэн цалингүй буюу борлуулалтын орлого (хийснээрээ) цалинждаг
ҮХХ борлуулах, түрээслэх, худалдан авахад зуучлалын үйлчилгээ үзүүлэх
ҮХХ бролуулалт, түрээс, хөрөнгө оруулалттай холбоотой зөвлөх үйлчилгээг үзүүлэх
Харилцагчтай зуучлалын гэрээ байгуулах","4,000,000 - 5,000,000 ₮"
Агентаар ажиллах БИЗНЕС ХАМТРАГЧ,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Үндсэн цалингүй буюу борлуулалтын орлого (хийснээрээ) цалинждаг
ҮХХ борлуулах, түрээслэх, худалдан авахад зуучлалын үйлчилгээ үзүүлэх
ҮХХ бролуулалт, түрээс, хөрөнгө оруулалттай холбоотой зөвлөх үйлчилгээг үзүүлэх
Харилцагчтай зуучлалын гэрээ байгуулах","5,000,000 - 6,000,000 ₮"
Хүдэр боловсруулалт хариуцсан зохицуулагч,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгЭнэ ажил үүргийн зорилго нь хүдэр боловсруулах үйлдвэрийг ажиллуулах, түүний дотор Томра лазер ангилан ялгах машины хэвийн ажиллагааг хангах явдал юм.
Үндсэн үүрэг:

Лазерийн хэлхээний үйл ажиллагааг хянах
Уурхайгаас ирж буй хүдрийн тэжээл, хацарт бутлуур, ялгагч шигшүүр, Троммел угаагч, 16 туузан дамжуулагч зэргийг агуулж буй үйлдвэрийн жигд ажиллагааг хангах.
Үйлдвэрийн хүчин чадлыг хадгалах, тэжээл нь үйлдвэрийн боловсруулах тээрэмд өдөр бүр хүрэх явдлыг хангах
Үйлдвэрлэлийг үргэлжлүүлэх, үйлдвэрийн янз бүрийн элементүүдийг бүрэн хянаж, ажиллуулан, үүрэг хариуцлагаа биелүүлэхийн тулд операторууд болон гадны хүмүүсийг сургаж, тэдэнд зааварчилгаа өгсөн байх явдлыг баталгаажуулах зорилгоор тэднийг хянаж, удирдана.
Лазер Ангилан Ялгагчийг Ханган Нийлүүлэгчтэй холбоо харилцаатай байж, машиныг үргэлж ажиллуулахын тулд бүрэн шалгалт, засвар үйлчилгээ хийнэ.","2,500,000 - 3,000,000 ₮"
"ЦАХИЛГААН ХАНГАМЖ, ХӨРГӨЛТ ХАРИУЦСАН ИНЖЕНЕР","Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Банкны Дата төвүүдийн цахилгаан болон хөргөлтийн тоног төхөөрөмжийн тасралтгүй найдвартай үйл ажиллагааг хангаж ажиллах. 
Банкны Төв байр, Салбар Тооцооны төвүүдийн серверийн өрөөний хөргөлтийн тоног төхөөрөмж, цахилгаан үүсгүүрүүдийн хэвийн ажилгааг хангаж ажиллах.
Салбар тооцооны төвийн цахилгааны гэмтэл саатлын үед цахилгаан үүсгүүрээр хангаж ажиллах.
Тендерт зарлагдсан тоног төхөөрөмжийн техникийн үзүүлэлт шаардлагыг гаргаж өгч түүнд хяналт тавих.
Удирдлагаас өгсөн бусад үүрэг даалгаврыг биелүүлэх","2,100,000 - 2,500,000 ₮"
"ЦАХИЛГААН ХАНГАМЖ, ХӨРГӨЛТ ХАРИУЦСАН ИНЖЕНЕР","Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Банкны Дата төвүүдийн цахилгаан болон хөргөлтийн тоног төхөөрөмжийн тасралтгүй найдвартай үйл ажиллагааг хангаж ажиллах. 
Банкны Төв байр, Салбар Тооцооны төвүүдийн серверийн өрөөний хөргөлтийн тоног төхөөрөмж, цахилгаан үүсгүүрүүдийн хэвийн ажилгааг хангаж ажиллах.
Салбар тооцооны төвийн цахилгааны гэмтэл саатлын үед цахилгаан үүсгүүрээр хангаж ажиллах.
Тендерт зарлагдсан тоног төхөөрөмжийн техникийн үзүүлэлт шаардлагыг гаргаж өгч түүнд хяналт тавих.
Удирдлагаас өгсөн бусад үүрэг даалгаврыг биелүүлэх","2,100,000 - 2,500,000 ₮"
Төслийн менежер,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Өдөр тутмын скрам уулзалт, хурлыг зохион байгуулах, төлөвлөх
Багийн бүх гишүүдийг нэг ойлголттой байлгах
Гарж буй ахиц гүйцэтгэлийг байнга хянаж скрам багийг сайжруулахад туслах
Төслийн үйл явц, үр дүн, 
Тайлан бэлтгэж оролцогч талуудад танилцуулах
Багийн гишүүдийн хийж байгаа ажлын явцыг ил тод байлгах
Уялдаа холбоог зохицуулж, өндөр гүйцэтгэлтэй ажиллах боломжийг бүрдүүлэх
Багийн гишүүд үүрэг хариуцлагаа багаараа хуваалцахад чиглүүлэх, дасгалжуулах
Харилцагчид үнэ цэнэ өгөх бүтээгдэхүүн үйлчилгээний сайжруулалт болон нэмэлт хөгжүүлэлтийн ажлын захиалгыг бүртгэх, төлөвлөх харилцааг хариуцах 
Хэлэлцүүлэг хийж backlog уудын агуулгыг тодорхой болгох, хүлээж байгаа үр дүнгийн дагуу шинэчлэх зэрэг ажилд оролцох, туслах","1,800,000 - 2,100,000 ₮"
Техник геологич,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг1. Энэхүү ажлын байр нь уурхайн нүүрс олборлолт, нүүрсний чанар тодорхойлох дээжлэлт, уурхайн геологийн зураглал хайгуулын ажил зэрэгт туслах үүрэгтэйгээр оролцоно.
2. Эрүүл мэнд, аюулгүй ажиллагаанд холбоотой бүх үйл ажиллагаанд идэвхтэй оролцох, өөрийн үйлдлээр болон бусдын эерэг зан үйлийг урамшуулах зарчмаар тогтсон стандартуудыг хэрхэн дагаж мөрдөхийг үлгэрлэн үзүүлэх
3. Өндөр эрсдэлтэй газруудад эрсдэлийг бууруулах арга хэмжээ авах хэрэгжүүлэх, эрсдэл гарахаас урьдчилан сэргийлэх
4. Геологийн төрөл бүрийн мэдээллээр уурхайн баг хамт олон болон гэрээт ажилтнуудтай харилцаж, хооронд нь холбож ажиллах, ажил үүргийн биелэлтэнд хяналт тавих
5. Уурхайн нүүрс олборлолтын үеийн дээжлэлт хийх, олборлолтын үеийн болон хайгуулын ажлын дээжийн шинжилгээний үр дүнд боловсруулалт үйлдэх, Үүнд: нүүрсний овоолгын болон уурхайн нээгдсэн түвшинд, экспорт, гадны байгууллагатай хамтарсан тест, гаалийн.
6. Уурхайн нүүрс олборлолтонд хяналт тавих, зааварчилга өгөх, олборлох хэсгийн нүүрсний чанарын үзүүлэлтийг тодорхойлох, хянах, нүүрс олборлолтын гүйцэтгэлийг удирдлагад тайлагнах
7. Уурхайн хана, ул болон мөргөцөг, нээгдсэн түвшинд геологи-литологийн зураглал, нүүрсний давхаргын ул болон таазны зураглал, нүүрсний давхрагад чанарын үзүүлэлтийн ангиллын зураглал үйлдэх, шинэчлэх, тайлагнах
8. Нүүрсний агуулахын гүйцэтгэлд хяналт тавих, овоолгын бохирдол, чанарын үзүүлэлтийг шалгах, хянах, шаардлагатай арга хэмжээ авах, тайлагнах
9. Овоолгын дээжлэлт, үр дүнгийн боловсруулалт чанарын үзүүлэлтийг тодорхойлох, овоолгын хэлбэр, тонн хэмжээг тодорхойлох, бохирдол материалыг тодорхойлж арга хэмжээ авах, хяналт тавих, байгууллагын нүүрсний ангилал болон гэрээнд заагдсан үзүүлэлтээр бэлтгэх
10. Геологи хайгуулын ажилд дэмжлэг үзүүлж ажиллах,
11. Удирдлагын өгсөн бүх үүрэг даалгаврыг аюул осолгүй, үр бүтээлтэй, цаг хугацаанд нь биелүүлэх
12. Компьютер, машин, оффисын тоног төхөөрөмж зэргийн бүрэн бүтэн байдлыг хангаж, гарсан аливаа доголдлыг цааш мэдээлэх","2,500,000 - 3,000,000 ₮"
Дампын оператор,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг60 тн даацтай дампаар хөрс, нүүрс тээвэр хийх","2,100,000 - 2,500,000 ₮"
Хүнд машин механизмын цахилгаанчин,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг
Хүнд машин механизмын цахилгааны системд гарсан эвдрэлийг оношлох, засварлах, цахилгаан эд ангийг солих.","2,500,000 - 3,000,000 ₮"
Нягтлан бодогч,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгERP шинэ систем нэвтрүүлэхтэй хамааралтай ерөнхий нягтлан бодогчийг орлон ажиллах 1 жилийн хугацаатай түр ажлын байр болно. 
1. Компанийн НББ-ийн бодлого, холбогдох журам зааварт нийцүүлэн НББ, татварын үйл ажиллагааг оновчтой зохион байгуулах,
2. НББ-ийн хөтлөлтийг удирдан гүйцэтгэх, санхүүгийн тайлан, татварын тайлан бэлтгэх, удирдлагыг шаардлагатай мэдээллээр хангах,
3. НББ-ийн хэлтсийн ажилчдыг СТОУС, НББ, татварын холбогдох хууль тогтоомжийн хүрээнд мэргэжлийн аргазүйгээр хангах,
4. Авлага өрийн удирдлага, өртөг зардлын хуваарилалт, хөрөнгө оруулалт, төсвийн гүйцэтгэл зарцуулалтын хяналтыг хэрэгжүүлэх,","4,000,000 - 5,000,000 ₮"
Эдийн засагч-Эрдэнэт хотод,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Эдийн засгийн төлөвлөгөө, компанийн стратеги, хөрөнгө оруулалтын төлөвлөгөө бодлого боловсруулах, зөвлөгөө өгөх, төсөл хэрэгжүүлэх эдийн засгийн үндэслэл тооцоолох,
Нийт эдийн засаг ба тодорхой ерөнхий байдал, өнгөрсөн үйлдвэрлэл, хэрэглээний бүртгэл, баримтыг судлан тухайн бараа, үйлчилгээний ирээдүйн эрэлт, нийлүүлэлтийг тооцоолох, таамаглах,
Орлого, зарлага, хүү, валютын ханшны мэдээлэлд шинжилгээ хийж, ирээдүйн төлөв байдлыг таамаглах,
Компанийн эдийн засгийн үйл ажиллагаа, тулгарч буй асуудалд дүн шинжилгээ хийх, үнэ тогтоох, борлуулалтын хэмжээг тооцоолох болон зах зээлд нэвтрэх, ирээдүйн чиг хандлагыг тогтоох, бизнесийн стратеги тодорхойлох зорилгоор  зах зээлийн судалгаа хийх болон бусад ажлын байрны тодорхойлолтонд заасан ажил үүргийг гүйцэтгэнэ.","1,500,000 - 1,800,000 ₮"
Авлагын менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Хугацаа хэтэрсэн авлагын листийн дагуу нэхэмжлэх үүсгэх
Нягтлантай тооцоо",
Туслах маркшейдер,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг
Уурхайн бүсэд гадаргын болон далд уурхайн хэмжилт хийхэд туслах, хэмжилт хийх
Ил болон далд уурхайд хийгдэх төрөл бүрийн маркшейдерийн ажлын хэмжилт, боловсруулалтын ажлыг маркшейдрийн зааварын дагуу  зураглал хийх. 
Ил болон далд уурхайн малталт нэвтрэлтэд чиглэл өгөх, маркшейдрийн график зураг бэлтгэх, гаргах уулын болон маркшейдрийн ажлыг гүйцэтгэхэд туслах.","1,200,000 - 1,500,000 ₮"
МЕХАНИК ИНЖЕНЕР /MG Motors/,Автомашины засвар үйлчилгээ,"Гүйцэтгэх үндсэн үүрэгАвтомашинд засвар үйлчилгээ хийх, аливаа эвдрэлийн шалтгааныг оношилж, засах болон ажлын байрны тодорхойлолтонд заасан бусад ажил үүргийг гүйцэтгэнэ.","1,800,000 - 2,100,000 ₮"
ТООЦООНЫ НЯГТЛАН БОДОГЧ-1,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгЖижиглэнгийн сувгийн төлбөр тооцоог хариуцаж ажиллах
Хүргэгчийн падаан авах, төлбөр холбох
Данс шүүх, мэдээ явуулах
Борлуулалтын баримт үдэх, цэгцлэх
Удирдлагаас өгсөн нэмэлт үүрэг даалгавар","1,500,000 - 1,800,000 ₮"
Сэтгүүлч /сошиал/,"Хэвлэл мэдээлэл, Медиа","Гүйцэтгэх үндсэн үүрэг- Мэдээг сошиал сүлжээнд түгээх
- Видео мэдээг хувиргах
- Сошиалд анализ хийх
- Шууд дамжуулалт хийх
- Видео, фото зураг авах
- Бусад АБТ-ын дагуу","1,000,000 - 1,200,000 ₮"
